"prnrnmc"	"isnrnmc"	"prnr"	"prname"	"isnr"	"type"	"council"	"proc"	"counvte"	"proccde"	"issues"	"intro"	"finact"	"pcom"	"pep"	"pat"	"pbe"	"pbu"	"pcr"	"pcy"	"pcz"	"pdk"	"pee"	"pfi"	"pfr"	"pde"	"pel"	"phu"	"pie"	"pit"	"plv"	"plt"	"plu"	"pmt"	"pnl"	"ppl"	"ppt"	"pro"	"psi"	"psk"	"pes"	"pse"	"puk"	"scom"	"sep"	"sat"	"sbe"	"sbu"	"scr"	"scy"	"scz"	"sdk"	"see"	"sfi"	"sfr"	"sde"	"sel"	"shu"	"sie"	"sit"	"slv"	"slt"	"slu"	"smt"	"snl"	"spl"	"spt"	"sro"	"ssi"	"ssk"	"ses"	"sse"	"suk"	"rp"	"out"
													"4.1"	"4.1"	"0.48"	"0.58"	"0.09"	"0.08"	"0.03"	"0.31"	"0.37"	"0.04"	"0.28"	"2.8"	"4.1"	"0.22"	"0.2"	"0.5"	"2.09"	"0.04"	"0.07"	"0.08"	"0.02"	"1.03"	"0.75"	"0.27"	"0.32"	"0.06"	"0.12"	"1.46"	"0.55"	"2.64"																																
1	1	"d00032"	"documents"	"d00032i1"	"Reg"	"General"	"COD"	"QMV"	3	4	"26-01-00"	1930-05-01	100	100	40	40					100		100	40	0	40		40	0			40		100		40				0	100	100	50	50	40	20	0		0	0	80	0	80	20	80	20	0	20	60	0	0	20	0	20	0	20	0	0	0	80	80	60	0	100
1	2	"d00032"	"documents"	"d00032i2"	"Reg"	"General"	"COD"	"QMV"	3	4	"26-01-00"	1930-05-01	50	0	100	50					0		0	100	100	50		0	100			50		0		50				100	0	50	20	80	50	20	0		0	0	80	0	80	50	50	50	0	20	50	0	0	50	0	20	0	50	0	0	0	50	80	50		0
1	3	"d00032"	"documents"	"d00032i3"	"Reg"	"General"	"COD"	"QMV"	3	4	"26-01-00"	1930-05-01	100	0	100	100					60		60	100	100	100		60	100			100		60		100				100	0	100	10	60	90	60	0		0	0	60	0	60	90	90	60	0	30	60	0	0	60	0	60	0	90	0	0	0	90	30	80	100	100
1	4	"d00032"	"documents"	"d00032i4"	"Reg"	"General"	"COD"	"QMV"	3	4	"26-01-00"	1930-05-01	100	0	100	50					0		0	100	100	100		0	100			100		0		100				100	0	50	90	20	90	60	0		0	0	95	0	95	90	90	60	0	40	90	0	0	60	0	40	0	90	0	0	0	90	95	60	0	50
2	5	"d00060"	"buses"	"d00060i1"	"Dir"	"Trans"	"COD"	"QMV"	3	2	"23-03-00"	999	100	50	100	50					50		50	100	100	100			100			50		0		100				50	50	50	80	80	70	40	0		0	0	70	0	90	70	90	60	0	0	70	0	0	40	0	90	0	70	0	0	0	90	90	50		50
2	6	"d00060"	"buses"	"d00060i2"	"Dir"	"Trans"	"COD"	"QMV"	3	2	"23-03-00"	999	100	100	0	0					100		0	0	0	0		0	0			0		0		0				0	0	70	40	40	70	50	0		0	0	70	0	80	80	90	80	0	50	80	0	0	40	0	80	0	70	0	0	0	90	80	70	0	0
3	7	"d00062"	"landmines"	"d00062i1"	"Reg"	"Develop"	"COD"	"QMV"	3	3	"14-03-00"	2023-07-01	100	100	100	100								0	100			100				0		100		100				100			100	100	20	100	0		0	0	0	0	0	100	20	0	0	20	0	0	0	20	0	100	0	20	0	0	0	20	0	0		90
3	8	"d00062"	"landmines"	"d00062i2"	"Reg"	"Develop"	"COD"	"QMV"	3	3	"14-03-00"	2023-07-01	60	100										100	0															100	10	0	100	100	0	0	0		0	0	0	0	0	80	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	50	80		60
3	9	"d00062"	"landmines"	"d00062i3"	"Reg"	"Develop"	"COD"	"QMV"	3	3	"14-03-00"	2023-07-01	100	100	100	100					100		100	100	100	100		100	100			100		0		100				100	100	100	50	100	50	50	0		0	0	50	0	50	80	50	50	0	50	100	0	0	50	0	100	0	50	0	0	0	90	50	50		95
